id;RussianText;EnglishText;PolishText
1;Представьте себе, что вы на 100% финансово обеспечены, как бы вы прожили свою жизнь?;Imagine as though you were 100% financially secure, how would you live your life?;Wyobraź sobie, że jesteś w 100% bezpieczny(а) finansowo. Jak chciałbyś/chciałabyś przeżyć swoje życie?
2;Опишите лучшее событие, которое произошло сегодня.;Describe the best event that happened today;Opisz najlepsze wydarzenie, które wydarzyło się dzisiaj.
3;"С какой песней у тебя ассоциируется текущий месяц?
Если такой песни нет, то как бы она называлась?";"Which song do you associate the current month with?
If there isn't such a song, what would it be called?";"Z jaką piosenką kojarzysz obecny miesiąc?
Jeśli nie ma takiej piosenki, to jak byś ją nazwał?"
4;Расскажите о самом любимом месте там, где вы выросли.;Tell us about your favorite place where you grew up.;Opowiedz o swoim ulubionym miejscu, w którym się wychowałeś.
5;Как бы вы описали себя одним предложением?;How would you describe yourself in one sentence?;Jak opisałbyś siebie jednym zdaniem?
6;Опишите свое детство тремя словами.;Describe your childhood in three words;Opisz swoje dzieciństwo trzema słowami
7;Что заставляет вас завидовать?;What makes you feel envy?;Co powoduje, że jesteś zazdrosny?
8;Что чаще всего является причиной ваших слёз?;What is the most common cause of your tears?;Co najczęściej jest przyczyną twoich łez?
9;Какой день вы бы прожили ещё раз?;Which day would you like to relive?;Który dzień chcielibyście przeżyć jeszcze raz?
10;Назовите два главных триггера в обычной жизни, которые вызывают в вас раздражение.;Name the top two triggers in your normal life that make you irritable.;Podaj dwa najważniejsze czynniki w swoim normalnym życiu, które sprawiają, że jesteś zdenerwowany.
11;Согласны ли вы прожить на помойке два месяца за 10000$?;Are you willing to live in a dumpster for two months for $10,000?;Czy zgodziłbyś się mieszkać na wysypisku śmieci przez dwa miesiące za 10 000 dolarów?
12;За что вы себе благодарены?;What are you grateful to yourself for?;Za co jesteś wdzięczny sobie?
13;Назовите три ошибки, которые вы совершили и которые вы больше не повторите.;Name three mistakes in life that you won't repeat;Wymień trzy błędy w życiu, których już nie popełnisz
14;Что может поднять ваше настроение сегодня?;What can lift your spirits today?;Co może poprawić twój nastrój dzisiaj?
15;На кого вы злитесь и почему?;Who are you angry at and why?;Na kogo się gniewasz i dlaczego?
16;Что для вас означает взаимоуважение?;What does mutual respect mean to you?;Co dla Сiebie oznacza wzajemny szacunek?
17;Что вы больше всего цените в людях?;What do you value most in people?;Co najbardziej cenisz w ludziach?
